,updated,country,cases,todayCases,deaths,todayDeaths,recovered,todayRecovered,active,critical,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population,continent,oneCasePerPeople,oneDeathPerPeople,oneTestPerPeople,activePerOneMillion,recoveredPerOneMillion,criticalPerOneMillion
0,1711612651169,India,45033893,0,533540,0,0,0,44500353,0,32015,379,935879495,665334,1406631776,Asia,31,2636,2,31636.11,0.0,0.0
1,1711612651171,France,40138560,0,167642,0,39970918,0,0,0,612013,2556,271490188,4139547,65584518,Europe,2,391,0,0.0,609456.61,0.0
2,1711612651173,Germany,38826304,0,182891,0,38240600,0,402813,0,462859,2180,122332384,1458359,83883596,Europe,2,459,1,4802.05,455876.98,0.0
3,1711612651175,Brazil,38694221,0,710966,0,36249161,0,1734094,0,179678,3301,63776166,296146,215353593,South America,6,303,3,8052.31,168323.92,0.0
4,1711612651176,S. Korea,34571873,0,35934,0,34535939,0,0,0,673523,700,15804065,307892,51329899,Asia,1,1428,3,0.0,672823.05,0.0
5,1711612651178,Japan,33803572,0,74694,0,0,0,33728878,0,269169,595,100414883,799578,125584838,Asia,4,1681,1,268574.44,0.0,0.0
6,1711612651179,Italy,26722143,0,196446,0,26356336,0,169361,27,443427,3260,280910073,4661420,60262770,Europe,2,307,0,2810.38,437356.86,0.45
7,1711612651181,UK,24910387,0,232112,0,24675212,0,3063,0,363666,3389,522526476,7628357,68497907,Europe,3,295,0,44.72,360233.08,0.0
8,1711612651182,Russia,24082671,0,402612,0,23500207,0,179852,0,165169,2761,273400000,1875095,145805947,Europe,6,362,1,1233.5,161174.54,0.0
9,1711612651183,Turkey,17232066,0,102174,0,0,0,17129892,0,201399,1194,162743369,1902052,85561976,Asia,5,837,1,200204.49,0.0,0.0
10,1711612651185,Spain,13914811,0,121760,0,13762417,0,30634,231,297840,2606,471036328,10082298,46719142,Europe,3,384,0,655.71,294577.69,4.94
11,1711612651186,Australia,11843536,1020,24356,0,11806633,0,12547,8,454319,934,81916639,3142326,26068792,Australia-Oceania,2,1070,0,481.3,452902.96,0.31
12,1711612651187,Vietnam,11625195,0,43206,0,10640971,0,941018,0,117481,437,85826548,867342,98953541,Asia,9,2290,1,9509.7,107535.02,0.0
13,1711612651189,Taiwan,10241523,0,19005,0,10222518,0,0,0,428720,796,30742304,1286903,23888595,Asia,2,1257,1,0.0,427924.62,0.0
14,1711612651191,Argentina,10094643,0,130733,0,9963910,0,0,0,219400,2841,35716069,776264,46010234,South America,5,352,1,0.0,216558.56,0.0
15,1711612651192,Netherlands,8635591,0,22992,0,8612069,0,530,0,501735,1336,25984435,1509718,17211447,Europe,2,749,1,30.79,500368.68,0.0
16,1711612651194,Mexico,7702809,0,334958,0,6899865,0,467986,0,58549,2546,20013810,152124,131562772,North America,17,393,7,3557.13,52445.42,0.0
17,1711612651195,Iran,7627186,0,146811,0,0,0,7480375,0,88665,1707,57320267,666338,86022837,Asia,11,586,2,86958.01,0.0,0.0
18,1711612651197,Indonesia,6829162,0,162063,0,6647104,0,19995,0,24465,581,114158919,408975,279134505,Asia,41,1722,2,71.63,23813.27,0.0
